Investigation,,,,,,
 Item ID , Item Name ,  OP , Day Care , Economy , Double ," Single/
ICU "
424,ANGIOTENSIN CONVERTING ENZYME - ACE,1200,1200,1200,1200,1200
425,ANTI CARDIOLIPIN ANTIBODY - IgG,1000,1000,1000,1000,1000
426,ANTI CARDIOLIPIN ANTIBODY - IgM,1000,1000,1000,1000,1000
427,Anti Cyclic Citrullinated Peptide (Anti CCP ) Antibodies,1800,1800,1800,1800,1800
428,ANTI Ds DNA,1800,1800,1800,1800,1800
429,ANTI GLIADIN ANTIBODY - IgA,1200,1200,1200,1200,1200
430,ANTI GLIADIN ANTIBODY - IgG,1900,1900,1900,1900,1900
431,ANTI GLIADIN ANTIBODY - IgM,1500,1500,1500,1500,1500
432,Anti Histone Antibody (AHA) - (M),1500,1500,1500,1500,1500
433,Anti Mitochondrial Antibodies (C),2500,2500,2500,2500,2500
434,ANTI MULLERIAN HORMONE - AMH (C),2000,2000,2000,2000,2000
435,Anti Neutrophil Cytoplasmic Antibody (  ANCA ) Panel - (C),2650,,,,
436,ANTI NUCLEAR ANTIBODY - ANA IFA,1000,1000,1000,1000,1000
437,ANTI PARIETAL CELLS ANTIBODY,1800,1800,1800,1800,1800
438,ANTI SMITH ANTIBODY,2000,2000,2000,2000,2000
439,ANTI SPERM ANTIBODY,1450,1000,1000,1000,1000
440,ANTI THYROGLOBULIN ANTIBODY - ATG,1350,1350,1350,1350,1350
441,Anti Thyroid Peroxidase (Anti TPO),1330,1330,1330,1330,1330
442,ANTIBODY TO SS-A/Ro,1900,1900,1900,1900,1900
443,ANTIBODY TO SSB/La,1900,1900,1900,1900,1900
444,Anti-Smooth Muscle Antibody (ASMA),3000,3000,3000,3000,3000
445,ANTISTREPTOLYSIN O - ASO,400,400,400,400,400
446,APLA Total (Anti Phospholipid Antibody),7000,7000,7000,7000,7000
447,Aspergillus Antibody IgG (A. fumigates),2400,,,,
448,Aspergillus Specific IgE,2200,2200,2200,2200,2200
449,Autoimmune Encephalitis Panel-1,23000,,,,
450,BCR - ABL Kinase Domain Mutations By NGS - (C),12000,,,,
451,BETA 2 GLYCOPROTEIN I - IgG,1200,1200,1200,1200,1200
452,BETA 2 GLYCOPROTEIN I - IgM,1200,1200,1200,1200,1200
453,CA 15.3,1450,1450,1450,1450,1450
454,CA 19 .9,1650,1650,1650,1650,1650
455,CA-125,1430,1430,1430,1430,1430
456,C-Antineutrophil Cytoplasmic Antibodies (ANCA),2200,2200,2200,2200,2200
457,CARCINO EMBRYONIC ANTIGEN - CEA,750,750,750,750,750
458,CD200 - (C),2050,,,,
459,CD3/CD4/CD8 COUNT PROFILE,2600,2600,2600,2600,2600
460,CD4 - Count,2050,,,,
461,CD8 - Count,2050,,,,
462,Centromere Antibody - (C),1800,,,,
463,CENTROMERE ANTIBODY SERUM,1650,1650,1650,1650,1650
464,Chlamydia Trachomatis IgG - (C),1650,,,,
465,Chlamydia Trachomatis IgM - (C),1650,,,,
466,Chylomicron Qualitative - ( C ),650,,,,
467,"CLL Prognostic , TP53 , IgVH Mutation By FISH, NGS , Sanger Sequencing - (C)",27000,,,,
468,Clostridium Difficile Toxin A and B and GDH - Rapid ( Stool ),2600,,,,
469,CLPD Advance by Flow Cytometry - (C),12100,,,,
470,CLPD Basic By Flow Cytometry - (C),7700,,,,
471,COMPLEMENT  C3,700,700,700,700,700
472,COMPLEMENT C4,700,700,700,700,700
473,Comprehensive Hematological Malignancy Panel - (C),30000,,,,
474,C-Peptide,1300,1300,1300,1300,1300
475,C-REACTIVE PROTEIN - CRP,500,500,500,500,500
476,Cryoglobulins Screening Qualitative ( C ),1250,,,,
477,Cryptococcal Antigen - (C),2750,,,,
478,Cryptococcal Antigen by Agglutination - (C),3000,,,,
479,"Cysticercosis (Taenia Solium) Antibody- IgG, CSF - (C)",2100,,,,
